 TransactionID,CustomerID,ProductID,ProductCategory,Quantity,Price,TransactionDate
 T001,C101,P501,Electronics,1,500,2023-01-05
 T002,C102,P601,Grocery,5,20,2023-01-06
 T003,C101,P701,Clothing,2,150,2023-01-06
 T004,C103,P601,Grocery,10,20,2023-01-07
 T005,C104,P801,Electronics,1,1200,2023-01-07
 T006,C102,P701,Clothing,3,150,2023-01-08
 T007,C105,P901,Furniture,1,2000,2023-01-09
 T008,C101,P601,Grocery,2,20,2023-01-09
 T009,C106,P701,Clothing,4,150,2023-01-10
 T010,C102,P801,Electronics,1,1200,2023-01-10
 T011,C107,P601,Grocery,8,20,2023-01-11
 T012,C108,P502,Electronics,2,750,2023-01-12
 T013,C109,P702,Clothing,1,200,2023-01-12
 T014,C110,P903,Furniture,1,2500,2023-01-13
 T015,C101,P601,Grocery,6,20,2023-01-13
 T016,C111,P802,Electronics,1,1100,2023-01-14
 T017,C112,P701,Clothing,5,150,2023-01-14
 T018,C113,P601,Grocery,3,20,2023-01-15
 T019,C114,P904,Furniture,2,1800,2023-01-15
 T020,C115,P503,Electronics,1,950,2023-01-16
 T021,C102,P702,Clothing,2,200,2023-01-16
 T022,C116,P601,Grocery,4,20,2023-01-17
 T023,C117,P701,Clothing,1,150,2023-01-17
 T024,C118,P803,Electronics,3,600,2023-01-18
 T025,C119,P905,Furniture,1,2200,2023-01-18
 T026,C120,P601,Grocery,7,20,2023-01-19
 T027,C121,P703,Clothing,2,175,2023-01-19
 T028,C122,P804,Electronics,1,1300,2023-01-20
 T029,C123,P906,Furniture,1,2100,2023-01-20
 T030,C124,P601,Grocery,5,20,2023-01-21
 T031,C125,P701,Clothing,2,150,2023-01-21
 T032,C126,P805,Electronics,2,850,2023-01-22
 T033,C127,P907,Furniture,1,2400,2023-01-22
 T034,C128,P601,Grocery,9,20,2023-01-23
 T035,C129,P704,Clothing,3,160,2023-01-23
 T036,C130,P806,Electronics,1,1400,2023-01-24
 T037,C131,P908,Furniture,2,1950,2023-01-24
 T038,C132,P601,Grocery,4,20,2023-01-25
T039,C133,P701,Clothing,6,150,2023-01-25
 T040,C134,P807,Electronics,1,1250,2023-01-26
 T041,C135,P909,Furniture,1,2300,2023-01-26
 T042,C136,P601,Grocery,3,20,2023-01-27
 T043,C137,P705,Clothing,2,180,2023-01-27
 T044,C138,P808,Electronics,2,950,2023-01-28
 T045,C139,P910,Furniture,1,2600,2023-01-28
 T046,C140,P601,Grocery,5,20,2023-01-29
 T047,C141,P701,Clothing,1,150,2023-01-29
 T048,C142,P809,Electronics,1,1350,2023-01-30
 T049,C143,P911,Furniture,1,2000,2023-01-30
 T050,C144,P601,Grocery,6,20,2023-01-30